Position,Name,Salary,GameInfo,AvgPointsPerGame,TeamAbbrev 
WR,Malcolm Mitchell,3600,LAC@NE 10/29/2017 01:00PM ET,,NE
WR,Mike Williams,3600,LAC@NE 10/29/2017 01:00PM ET,,LAC
WR,Aldrick Robinson,3600,SF@PHI 10/29/2017 01:00PM ET,,SF
RB,Kenjon Barner,3600,SF@PHI 10/29/2017 01:00PM ET,,PHI
TE,George Kittle,3600,SF@PHI 10/29/2017 01:00PM ET,,SF
RB,Jonathan Stewart,3600,CAR@TB 10/29/2017 01:00PM ET,,CAR
RB,Thomas Rawls,3600,HOU@SEA 10/29/2017 04:05PM ET,,SEA
WR,Terrance Williams,3600,DAL@WAS 10/29/2017 04:25PM ET,,DAL
RB,Zach Zenner,3600,PIT@DET 10/29/2017 08:30PM ET,,DET
RB,Dwayne Washington,3600,PIT@DET 10/29/2017 08:30PM ET,,DET
WR,Ricardo Louis,3500,MIN@CLE 10/29/2017 09:30AM ET,,CLE
WR,Zay Jones,3500,OAK@BUF 10/29/2017 01:00PM ET,,BUF
TE,Jack Doyle,3500,IND@CIN 10/29/2017 01:00PM ET,,IND
WR,Donte Moncrief,3500,IND@CIN 10/29/2017 01:00PM ET,,IND
RB,Austin Ekeler,3500,LAC@NE 10/29/2017 01:00PM ET,,LAC
WR,Kendall Wright,3500,CHI@NO 10/29/2017 01:00PM ET,,CHI
WR,Brandon Coleman,3500,CHI@NO 10/29/2017 01:00PM ET,,NO
WR,Andre Roberts,3500,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
WR,Marvin Hall,3500,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
RB,Eddie Lacy,3500,HOU@SEA 10/29/2017 04:05PM ET,,SEA
WR,Ryan Grant,3500,DAL@WAS 10/29/2017 04:25PM ET,,WAS
RB,Mack Brown,3500,DAL@WAS 10/29/2017 04:25PM ET,,WAS
WR,TJ Jones,3500,PIT@DET 10/29/2017 08:30PM ET,,DET
DST,Saints ,3400,CHI@NO 10/29/2017 01:00PM ET,,NO
TE,Ed Dickson,3400,CAR@TB 10/29/2017 01:00PM ET,,CAR
WR,Russell Shepard,3400,CAR@TB 10/29/2017 01:00PM ET,,CAR
RB,Charles Sims,3400,CAR@TB 10/29/2017 01:00PM ET,,TB
WR,Brice Butler,3400,DAL@WAS 10/29/2017 04:25PM ET,,DAL
